,last_update,pub_key,alias,addresses,color,num_channels,total_capacity
16188,1658757723.0,03e1e280b740e45de8258626a49c3d98ba62efeba4242d5d51cc15c5e624fac775,a9a2e34b61b7,"[{'network': 'tcp', 'addr': '3.94.3.66:9735'}]",#3399ff,1,0.0007
16189,1665391304.0,03e1ede93740c1ef26921c8624ea0fa02b2d5d42f71dce8019b6cfce4360dfdb9d,mrblitz,"[{'network': 'tcp', 'addr': '7qxipbs7jahpseaqq6kwm657oar4oost52rf5pw7tpw4n3yb7kowd5qd.onion:9735'}]",#68f442,3,0.00140147
16190,1667453586.0,03e1f4b99437b77d438427a2e413acd84fc6952fbbf84d8c38a2b99040b21208f0,36bb56c6d9-sphinx,[],#7986cb,1,0.0007
16191,1667401940.0,03e1faa261c429119b8f3aa216d17c12d57aa0237b06dbf549a644f893f4d40182,HoraceOne,"[{'network': 'tcp', 'addr': 'sl5n3fp45rz6mw4xnh4cow3cav4uoi7dvriwzszh2jaxxxtostcl2qyd.onion:9735'}]",#3399ff,18,0.67005
16192,1659894690.0,03e208ba5177d47518952d8da940fe6902a47a2c9ec83a2790e6e16fe15624c37c,Exphys[NodeNor],"[{'network': 'tcp', 'addr': 'z2wot6624focgp7i3agaasapexza4mybpiot4nzn3hljhwilmuxsi7ad.onion:9735'}]",#3399ff,1,0.01
16193,1667409476.0,03e22e633f5dcfadcfc334c9d74c72d4aab68c4889eaa3bfa4d105a88901a2119c,03e22e633f5dcfadcfc3,"[{'network': 'tcp', 'addr': '6j5zghlqrnfhezktlb5imtxiojfkgpoz6cur4b6pilrx6adomav3btad.onion:9735'}]",#3399ff,2,0.02
16194,1665690945.0,03e23cf27990626ced044ac245d1f2b1eb6dfeb02a65e34c89487643edf074f328,03e23cf27990626ced04,"[{'network': 'tcp', 'addr': 'qgq65ypst5q4v2hdgfuwtxscwkd32cubc3jhsvj7ztv6cai4mexon5id.onion:9735'}]",#3399ff,6,0.0235
16195,1661350076.0,03e2408a49f07d2f4083a47344138ef89e7617e63919202c92aa8d49b574a560ae,BRUCEWAINE,"[{'network': 'tcp', 'addr': '178.128.84.51:9735'}, {'network': 'tcp', 'addr': '[2400:6180:0:d0::1052]:9735'}, {'network': 'tcp', 'addr': 'hvq7b3r7zekt2cz5a4o52ae4xbhddj5pplan7godpweyihbdmwuuxiqd.onion:9735'}]",#02bf81,11,0.11538125
16196,1667432512.0,03e24db0341fff731e24aeb0492e54510d1392d21d121a51e644ac5797300d495f,Peace/Money | bit.ly/1kYb7a7,"[{'network': 'tcp', 'addr': '46.101.112.24:9735'}]",#7d3c98,23,0.52264501
16197,1660453955.0,03e26794a832eecaf2ed64d60f69b59f753cb12356494e4b9643b06db2add0e760,03e26794a832eecaf2ed,"[{'network': 'tcp', 'addr': 'ez334bqsgh25riparbelphyqwmho5rdjmpp4t4l5tgg3gsactywwnbid.onion:9735'}]",#3399ff,1,0.003
16198,0.0,03e269ffc7faa7b0d29f87e6547db29e540418885e45be44d88ef78ff8bc86e144,,[],#000000,1,0.005
16199,1597604146.0,03e26a98ee4d1320d5775fab291580969180592db3679e6d32e360dbd147066ca3,ln1.kosmos.org,"[{'network': 'tcp', 'addr': '46.4.18.160:9735'}, {'network': 'tcp', 'addr': '[2a01:4f8:221:39c1::2]:9735'}]",#03e26a,5,0.03300972
16200,1665526248.0,03e2700107ab7d12173c3e3e74fa7796c8a14536ee59eefe58a79d154e559526a6,StruckBy,"[{'network': 'tcp', 'addr': 'e4cwi7urynqimskqim67sqfxey3rj35rfouxel27irqucm3pyqrpzuqd.onion:9735'}]",#3399ff,5,0.16388889
16201,0.0,03e27ab204bb3a34afaa19abbee8cfe26e32789f6f9a47faae114af0f443af18d1,,[],#000000,1,0.0001
16202,0.0,03e28334256513b213c4239325b2ef628b342eac31b14dba2c631a56bd090887ed,,[],#000000,1,0.01
16203,1667226728.0,03e29c65898bda918da9419e18e37a026fa946c6e3e7ce05b4d2918d3fa5f6c6a9,Island Bitcoin - St James,"[{'network': 'tcp', 'addr': 'lac3kx5n3p2lbhu4izf4pohk6zf2urmslphgdbaedll7zbgkbcmk2myd.onion:9735'}]",#ffffff,4,0.27606342
16204,1665405339.0,03e29d2c639b0789e9559a234843ec9e5b6b9009a249adf3e3f2fe29759dd3a268,Rocky&FatCat.WUMBO.LND,"[{'network': 'tcp', 'addr': '2r2efomsgg77wxmduzjevnwjo377h2y64faulnurosa6xxf6ivybctid.onion:9735'}]",#cdd613,1,0.1
16205,1665712934.0,03e29fcb7c976c63e38a9137a22ea67c4253f54ff1a897430f535da4ed1e293d79,03e29fcb7c976c63e38a,"[{'network': 'tcp', 'addr': 'xearb347ktolxokn54734hnmuceyvh2ugu4xr5allbgbls6udlv773qd.onion:9735'}]",#3399ff,1,0.005
16206,1667460968.0,03e2a31b6336ce9bc359cdfafcbca8996f7bd20eea927898b1ee2969ccd59f91b6,Cristiano,"[{'network': 'tcp', 'addr': 'ktxb63cyr7saynn36ucq26q4yhgumcv526y23ks7exsjai5dpu3hkjqd.onion:9735'}]",#3399ff,3,0.0074
16207,1666095761.0,03e2a83993cd953e6530a00001b08ae4840a4e2fa7f46b55d452905a1b87815a26,TheStrongHODL,"[{'network': 'tcp', 'addr': 'syt7fkvkmy7hvvb5zjnofc7vtrbtb5whmngvfyq5scyrbo7ixki2uuyd.onion:9735'}]",#ec94d5,24,0.26887324
16208,1667467857.0,03e2dc372a642c62f047a282134971aae278b0120fd8bf3dc0002510ea945e49bb,03e2dc372a642c62f047,"[{'network': 'tcp', 'addr': 'libufe6ubmcspukpp67wkig4p4hnlkzhk6yqgn6de2gm6dye26dgebid.onion:9735'}]",#3399ff,2,0.0115
16209,1558911974.0,03e2eb0c8563dca19ac4798443edd583adf74ce0332fa7fc2cb64f507ec971289b,oldanna,"[{'network': 'tcp', 'addr': '192.168.1.20:9735'}]",#3399ff,1,0.006
16210,1662257793.0,03e2ecf0b8dfe81a3d2b52785e7695bc331a2d341e89a3234c769150903291bbf9,omaha,"[{'network': 'tcp', 'addr': '4va7x5voof4ugcpedqnzvp6phdkmspbxanyjf4he4edapt5iy5mphzqd.onion:9735'}]",#68f442,4,0.170005
16211,1667435026.0,03e2f32253bb9c00c294d87da97e2a8e395b4535e036c68354b2caac5c0b83a5a1,03e2f32253bb9c00c294,"[{'network': 'tcp', 'addr': 'dccch6yxrrglksuajdgvd2wl77wmpcghhue3xwgvwgwby57ul6y5bdad.onion:9735'}]",#3399ff,1,0.001
16212,1667422617.0,03e3024809ec66a9725c6cba9731eb8bc644fdb86da0ce8eaeb3a1463ac3395f33,geeknewscentral,"[{'network': 'tcp', 'addr': 'anhox3tmtxnjup7b3sjpvceevuaqglw26k2g4gyvqta46geivjcbo3ad.onion:9735'}]",#ff0000,3,0.028
16213,1667428135.0,03e30d16c6f051a3144ebd17337cc410869dffb939ceb2410c1b9e5bd700330555,03e30d16c6f051a3144e,"[{'network': 'tcp', 'addr': 'sdc644vbribgvzluwjmeqevrkooz7kux2gahfqbevxegakmgjszcecad.onion:9735'}]",#3399ff,3,0.024
16214,1667296845.0,03e30da473716d39c09356d5372cf839d8ee3a1cdbd993ee853c23ab9bdfbce6f8,FreeMoon,"[{'network': 'tcp', 'addr': '211.23.128.57:9735'}, {'network': 'tcp', 'addr': 'fqsuol2ih5kdifhhko5yv6vzzaikr2bzkbgf5durdq6fdi3labvbgqqd.onion:9735'}]",#447755,26,0.42197276
16215,1667414221.0,03e3185014c9330e8797432e31fc7e2ea40b644ebdd89a6076aff4564a3c8a16f7,TS,"[{'network': 'tcp', 'addr': 'kjqx6zj5cv5kzwxeb6fpqcm6rmphxnr4mx3wxtzaprq4fkaftkcbf6yd.onion:9735'}]",#1e90ff,7,1.16331645
16216,0.0,03e32bb82dd814d2fdc501391f322e5d07dea334c287eba5cc9248ffd97611467c,,[],#000000,1,0.0004
16217,1654264318.0,03e34a5dc0e41eee2c26a926eb5fbfffbf4328ab6d25956d16cc7d6f7b3ac27b54,GREENFIRE,"[{'network': 'tcp', 'addr': 'zgggcizzreopivxfl7e6lu2z3x2bfca2pow4lscctldjwfeanoeknkqd.onion:9736'}]",#68bd56,1,0.011
16218,0.0,03e34f25b55e104fab0e7746c1b1beb7a882d71e7f0c98e8d68d5fe175f3b850e8,,[],#000000,1,0.0006
16219,1631001916.0,03e35a27fa8bfad8675aeb9e96530e7b00e6fa03b571d235f6b4e68cfb4ef9097c,ln1.generalbytes.com,"[{'network': 'tcp', 'addr': '67.207.92.63:9736'}]",#1f57a1,25,2.10788471
16220,1667401055.0,03e35f46a031560d437b3b2d81dce1039a19d12421d5a60362135448d0d96a077f,mikuhl,"[{'network': 'tcp', 'addr': 'fza5vcn3sr6pcjfxi656qxm4j7ugqvzexgzhsgr4syzvyxbjyvzi3dyd.onion:9735'}]",#0066ff,16,0.209
16221,0.0,03e375b3585c333f1275642a16dc10981b3d3ebdb4b5832ee2ea3dbaebf1600582,,[],#000000,1,0.00028
16222,1667404123.0,03e37a0fb61f99a8cb3561d597aa65fcd510958e83df6ff70db47e0a3434c9788b,nodl-5cd0971e244be08a2263d6ae,"[{'network': 'tcp', 'addr': '85.208.69.13:4030'}]",#000000,1,0.001
16223,1667392725.0,03e380a891066dbb65298c52546b4c1d8b5933fcdb0cc13dd3392e4962dad53f41,707da20cf0-sphinx,[],#7986cb,1,0.0007
16224,1665561204.0,03e3816122fd6fa05a2f0861526b1e584ee5a2a7e5f88f036764c6c0ad1447902f,SPENGBEB,"[{'network': 'tcp', 'addr': 'gpoq3zdozcrcbzp27vwbg5qg6c5qo4l73hsgseaisw2x6yxaimyns7id.onion:9735'}]",#3399ff,1,0.001
16225,1551835086.0,03e387b5ffdcacbf50a02baa944e4c96beac95c3441a374d0d73ae32dafad55376,Honey_Badger_L2,"[{'network': 'tcp', 'addr': '99.233.106.112:9735'}]",#3399ff,2,0.02
